| Timestamp | Scene Description | Image Prompt Keywords | Voice-over Script |
|---|---|---|---|
| 0:00–0:30 | A cinematic, historically inspired World War One battlefield at dawn. Rows of soldiers in khaki uniforms and steel Brodie helmets crouch in a muddy trench, rifles with fixed bayonets in hand, mist drifting over no man's land beyond the sandbags. Dramatic overcast sky, realistic, epic scale, historically accurate uniforms and equipment, 8K quality. | soldiers trench dawn mist rifles bayonets WWI | On the first of July, 1916, over one hundred thousand men waited in the trenches of northern France. In minutes, more of them would die than on any other single day in British military history. This is the story of the Battle of the Somme. |
| 0:30–1:10 | A cinematic aerial-style view of a vast World War One battlefield, a network of zigzagging trenches cutting across rolling French farmland, barbed wire coiled across churned earth, distant artillery smoke rising on the horizon. Highly detailed, realistic, overcast lighting, 8K quality. | WWI trench network aerial battlefield barbed wire | By 1916, the war on the Western Front had stalled into a bloody stalemate. Both sides were dug into trenches stretching hundreds of miles, and commanders on all sides searched for a way to break the deadlock. |
| 1:10–1:50 | A cinematic, historically inspired command tent interior. British and French officers in period World War One uniforms lean over a large paper map spread across a wooden table, marked with troop positions and arrows, oil lamp lighting, tense expressions, realistic, 8K quality. | WWI officers map command tent planning | The Allied plan was to launch a massive combined British and French offensive along the Somme river, hoping a week-long artillery bombardment would destroy German defenses before infantry advanced across open ground. |
| 1:50–2:30 | A cinematic World War One battlefield at night, illuminated by the bright flashes of massed artillery guns firing in sequence along a ridge, smoke and dust filling the air, distant explosions lighting the horizon. Highly detailed, dramatic, realistic, 8K quality. | WWI artillery barrage night explosions ridge | For seven days, over one and a half million shells rained down on German lines. The bombardment was so immense it could be heard across the English Channel — but deep underground, German soldiers sheltered in fortified bunkers, waiting it out largely unharmed. |
| 2:30–3:10 | A cinematic, historically inspired dawn battlefield scene. Long lines of British soldiers in khaki uniforms climb out of trenches over sandbagged parapets, advancing in formation across open muddy ground toward distant barbed wire, officers with whistles leading the charge, dramatic lighting, realistic, 8K quality. | WWI soldiers going over the top trench charge | When the whistles blew on the morning of July 1st, waves of soldiers climbed out of their trenches and advanced across open ground, exactly as ordered. What they walked into was largely intact German machine gun positions the bombardment had failed to destroy. |
| 3:10–3:50 | A cinematic, historically inspired World War One battlefield, distant machine gun nests in fortified concrete positions along a ridge, muzzle flashes visible through smoke, soldiers taking cover behind shell craters in a muddy field. Realistic, dramatic, historically accurate, no graphic detail, 8K quality. | WWI machine gun position ridge shell craters | The result was catastrophic. On that single day, the British Army suffered close to sixty thousand casualties — the worst single day's losses in its entire history, a grim fact that has never been surpassed. |
| 3:50–4:30 | A cinematic, historically inspired World War One battlefield weeks into a campaign, exhausted soldiers in mud-covered uniforms moving cautiously through a devastated landscape of shattered trees and shell craters filled with water, grey overcast sky, realistic, 8K quality. | WWI muddy battlefield shattered trees devastation | Yet the battle did not end that day. It ground on for nearly five months, through summer heat and autumn rain, as both sides fed men and resources into a battle of attrition across a shrinking, shattered stretch of land. |
| 4:30–5:00 | A cinematic, historically inspired scene of an early World War One tank advancing across a muddy battlefield, soldiers following cautiously behind its armored hull, smoke and dust in the background, dramatic lighting, historically accurate rhomboid tank design, 8K quality. | WWI early tank battlefield advance soldiers | In September, the British introduced a new weapon to the battlefield for the first time in history: the tank. Slow and mechanically unreliable, these early machines nonetheless hinted at a new kind of warfare still to come. |
| 5:00–5:40 | A cinematic, historically inspired late-autumn World War One battlefield, rain falling over a landscape of flooded trenches and mud, a lone soldier standing at the edge of a crater looking out over the silent, devastated terrain. Somber, realistic lighting, 8K quality. | WWI flooded trenches rain somber battlefield aftermath | By the time the battle finally ended in November 1916, over one million men from both sides had been killed, wounded, or gone missing. The front line had moved forward only a few miles. |
| 5:40–6:10 | A cinematic, historically inspired modern-day image of neat rows of white war graves stretching across a green French hillside under a soft golden sunset, peaceful and solemn, realistic, 8K quality. | WWI cemetery war graves hillside sunset memorial | Historians still debate whether the Somme achieved anything strategically. But its true legacy is human: an entire generation scarred by a single battle, and a stark, permanent reminder of the true cost of industrial warfare. |
| 6:10–6:40 | A final cinematic wide shot of a quiet, restored World War One battlefield today, gentle green hills where trenches once stood, a single weathered memorial stone standing in soft evening light, peaceful, reflective, realistic, 8K quality. | WWI battlefield today memorial peaceful evening | More than a century later, the Somme remains a name that still carries weight — not for what it won, but for everything it cost. Some battles are remembered not for victory, but for what they teach us about the price of war. |
